NOM,GEN,Gradation (yes/no),Type (quantitative/qualitative),Affected consonant (k/t/p),Direction (direct/inverse)
t u n n u s t u s,t u n n u s t u k s e n,no,_,_,_
k a r s i n t a,k a r s i n n a n,yes,qualitative,t,direct
t a r h a,t a r h a n,no,_,_,_
t u r k m e e n i,t u r k m e e n i n,no,_,_,_
j u n i o r i,j u n i o r i n,no,_,_,_
m u i j a,m u i j a n,no,_,_,_
v a a l e u s,v a a l e u d e n,no,_,_,_
v e e,v e e n,no,_,_,_
p u o l i s o,p u o l i s o n,no,_,_,_
i s t u t u s,i s t u t u k s e n,no,_,_,_
v o d k a,v o d k a n,no,_,_,_
m u k s u,m u k s u n,no,_,_,_
c h i l i,c h i l i n,no,_,_,_
k u s k i,k u s k i n,no,_,_,_
j o u s t a v u u s,j o u s t a v u u d e n,no,_,_,_
t a u t i,t a u d i n,yes,qualitative,t,direct
o t s i k k o,o t s i k o n,yes,quantitative,k,direct
p u r k i l l i n e n,p u r k i l l i s e n,no,_,_,_
m a k e u s,m a k e u d e n,no,_,_,_
v i e s t i,v i e s t i n,no,_,_,_
t a r i n a,t a r i n a n,no,_,_,_
r e v i i r i,r e v i i r i n,no,_,_,_
k i r k k a u s,k i r k k a u d e n,no,_,_,_
t o i m e k s i a n t o,t o i m e k s i a n n o n,yes,qualitative,t,direct
t a i v a s,t a i v a a n,no,_,_,_
m a n s i k k a,m a n s i k a n,yes,quantitative,k,direct
d e m e n t i a,d e m e n t i a n,no,_,_,_
p o i s t a m i n e n,p o i s t a m i s e n,no,_,_,_
k o n s e n s u s,k o n s e n s u k s e n,no,_,_,_
e k s t a a s i,e k s t a a s i n,no,_,_,_
a a r r e,a a r t e e n,yes,qualitative,t,inverse
p a i k k a a m i n e n,p a i k k a a m i s e n,no,_,_,_
s e e s a m i,s e e s a m i n,no,_,_,_
a s e t u s,a s e t u k s e n,no,_,_,_
s a u n a,s a u n a n,no,_,_,_
v a l a i s t u m i n e n,v a l a i s t u m i s e n,no,_,_,_
s e i,s e i n,no,_,_,_
k i k k a,k i k a n,yes,quantitative,k,direct
o s a v a l t i o,o s a v a l t i o n,no,_,_,_
s u o r i t u s,s u o r i t u k s e n,no,_,_,_
e p ä i l y s,e p ä i l y k s e n,no,_,_,_
l a n t i o n p o h j a,l a n t i o n p o h j a n,no,_,_,_
h a n s i k a s,h a n s i k k a a n,yes,quantitative,k,inverse
v a n k e u s,v a n k e u d e n,no,_,_,_
s y n t y m ä,s y n t y m ä n,no,_,_,_
s h a k k i,s h a k i n,yes,quantitative,k,direct
o p p o r t u n i s t i,o p p o r t u n i s t i n,no,_,_,_
j ä r j e s t ä m i n e n,j ä r j e s t ä m i s e n,no,_,_,_
b e l g i a l a i n e n,b e l g i a l a i s e n,no,_,_,_
i r a k i l a i n e n,i r a k i l a i s e n,no,_,_,_
l i i t o s,l i i t o k s e n,no,_,_,_
s a l m i a k k i,s a l m i a k i n,yes,quantitative,k,direct
p i d e n t ä m i n e n,p i d e n t ä m i s e n,no,_,_,_
v e s k a r i,v e s k a r i n,no,_,_,_
k a r h e u s,k a r h e u d e n,no,_,_,_
j u u r e s,j u u r e k s e n,no,_,_,_
k a p s e l i,k a p s e l i n,no,_,_,_
i s t u n t o,i s t u n n o n,yes,qualitative,t,direct
i k k u n a,i k k u n a n,no,_,_,_
r a k e t t i,r a k e t i n,yes,quantitative,t,direct
s ä t k ä,s ä t k ä n,no,_,_,_
t u o l i,t u o l i n,no,_,_,_
k e i n a h d u s,k e i n a h d u k s e n,no,_,_,_
t u n n i s t a m i n e n,t u n n i s t a m i s e n,no,_,_,_
p o t k u r i,p o t k u r i n,no,_,_,_
h u m a n i s t i,h u m a n i s t i n,no,_,_,_
h o i t a m i n e n,h o i t a m i s e n,no,_,_,_
n ä l k ä,n ä l ä n,yes,qualitative,k,direct
t e r ä,t e r ä n,no,_,_,_
h a m e,h a m e e n,no,_,_,_
t u h l a u s,t u h l a u k s e n,no,_,_,_
m a i n o s,m a i n o k s e n,no,_,_,_
k a h v i l a,k a h v i l a n,no,_,_,_
f a r s i,f a r s i n,no,_,_,_
l a u l u,l a u l u n,no,_,_,_
y m p y r ä,y m p y r ä n,no,_,_,_
h u p e n e m i n e n,h u p e n e m i s e n,no,_,_,_
k y s y j ä,k y s y j ä n,no,_,_,_
l i n t u,l i n n u n,yes,qualitative,t,direct
o p a s,o p p a a n,yes,quantitative,p,inverse
l i m s a,l i m s a n,no,_,_,_
p e s u e,p e s u e e n,no,_,_,_
k r a a t t e r i,k r a a t t e r i n,no,_,_,_
k e h i t y s,k e h i t y k s e n,no,_,_,_
t e k n i k k o,t e k n i k o n,yes,quantitative,k,direct
y l l ä p i t o,y l l ä p i d o n,yes,qualitative,t,direct
k o r u,k o r u n,no,_,_,_
m i e k k a,m i e k a n,yes,quantitative,k,direct
l a p s u u s,l a p s u u d e n,no,_,_,_
s t i p e n d i,s t i p e n d i n,no,_,_,_
y ö p y m i n e n,y ö p y m i s e n,no,_,_,_
y k s i ö,y k s i ö n,no,_,_,_
p u l k k a,p u l k a n,yes,quantitative,k,direct
e l p y m i n e n,e l p y m i s e n,no,_,_,_
h a l l i n n o i n t i,h a l l i n n o i n n i n,yes,qualitative,t,direct
o t e,o t t e e n,yes,quantitative,t,inverse
v a i h e,v a i h e e n,no,_,_,_
v a p a u t t a m i n e n,v a p a u t t a m i s e n,no,_,_,_
k e s k e y t t ä m i n e n,k e s k e y t t ä m i s e n,no,_,_,_
y r i t y s,y r i t y k s e n,no,_,_,_
h ö y r y,h ö y r y n,no,_,_,_
r a t s u,r a t s u n,no,_,_,_
p e l l e,p e l l e n,no,_,_,_
n e l j ä n n e s,n e l j ä n n e k s e n,no,_,_,_
s u k e l t a m i n e n,s u k e l t a m i s e n,no,_,_,_
m o t i i v i,m o t i i v i n,no,_,_,_
k e l i,k e l i n,no,_,_,_
k y l p y l ä,k y l p y l ä n,no,_,_,_
k a a p p a a j a,k a a p p a a j a n,no,_,_,_
p i i r i,p i i r i n,no,_,_,_
j ä ä m i s t ö,j ä ä m i s t ö n,no,_,_,_
v u o d e,v u o t e e n,yes,qualitative,t,inverse
t o t e u t u m i n e n,t o t e u t u m i s e n,no,_,_,_
p u h u m i n e n,p u h u m i s e n,no,_,_,_
h y g i e n i a,h y g i e n i a n,no,_,_,_
t a k k i,t a k i n,yes,quantitative,k,direct
t e m p p u,t e m p u n,yes,quantitative,p,direct
r a t t i,r a t i n,yes,quantitative,t,direct
v a r s i,v a r r e n,no,_,_,_
v i n k u n a,v i n k u n a n,no,_,_,_
s i s u s,s i s u k s e n,no,_,_,_
l a h n a,l a h n a n,no,_,_,_
m e k a n i s m i,m e k a n i s m i n,no,_,_,_
m u r r o s,m u r r o k s e n,no,_,_,_
l i s ä k e,l i s ä k k e e n,yes,quantitative,k,inverse
k o k e m i n e n,k o k e m i s e n,no,_,_,_
n o m i n a t i i v i,n o m i n a t i i v i n,no,_,_,_
h e r ä t y s,h e r ä t y k s e n,no,_,_,_
p o s t e r i,p o s t e r i n,no,_,_,_
e t e l ä,e t e l ä n,no,_,_,_
p a k k a a m i n e n,p a k k a a m i s e n,no,_,_,_
n o u d a t t a m i n e n,n o u d a t t a m i s e n,no,_,_,_
k i v e s,k i v e k s e n,no,_,_,_
n a i s e l l i s u u s,n a i s e l l i s u u d e n,no,_,_,_
k i i r e e t t ö m y y s,k i i r e e t t ö m y y d e n,no,_,_,_
a n s i o,a n s i o n,no,_,_,_
i r t a u t u m i n e n,i r t a u t u m i s e n,no,_,_,_
v a i h d a n t a,v a i h d a n n a n,yes,qualitative,t,direct
m o t t o,m o t o n,yes,quantitative,t,direct
s t r e s s i,s t r e s s i n,no,_,_,_
ä ä n n e,ä ä n t e e n,yes,qualitative,t,inverse
t a p p a m i n e n,t a p p a m i s e n,no,_,_,_
p u u t t u m i n e n,p u u t t u m i s e n,no,_,_,_
k a n s s a k ä y m i n e n,k a n s s a k ä y m i s e n,no,_,_,_
l ä t ä k k ö,l ä t ä k ö n,yes,quantitative,k,direct
t i l a i s u u s,t i l a i s u u d e n,no,_,_,_
v i r t a,v i r r a n,yes,qualitative,t,direct
e u k k o,e u k o n,yes,quantitative,k,direct
s e l k ä,s e l ä n,yes,qualitative,k,direct
h i u s,h i u k s e n,no,_,_,_
s i i v i l ä,s i i v i l ä n,no,_,_,_
p e r h a n a,p e r h a n a n,no,_,_,_
k o l l e g a,k o l l e g a n,no,_,_,_
t u t k i n t a,t u t k i n n a n,yes,qualitative,t,direct
r o t t a,r o t a n,yes,quantitative,t,direct
t a r k a s t e l u,t a r k a s t e l u n,no,_,_,_
o k s i d i,o k s i d i n,no,_,_,_
j ä ä n n e,j ä ä n t e e n,yes,qualitative,t,inverse
l i s k o,l i s k o n,no,_,_,_
t y t t ö,t y t ö n,yes,quantitative,t,direct
s a k s a,s a k s a n,no,_,_,_
s a n o t t a v a,s a n o t t a v a n,no,_,_,_
i n v e n t o i n t i,i n v e n t o i n n i n,yes,qualitative,t,direct
m u u r i,m u u r i n,no,_,_,_
o m e n a,o m e n a n,no,_,_,_
v a u n u,v a u n u n,no,_,_,_
k o r o s t u s,k o r o s t u k s e n,no,_,_,_
s ä ä n n ö s,s ä ä n n ö k s e n,no,_,_,_
h ö p ö t y s,h ö p ö t y k s e n,no,_,_,_
k o s k e t u s,k o s k e t u k s e n,no,_,_,_
h i s t o r i a,h i s t o r i a n,no,_,_,_
a r g u m e n t o i n t i,a r g u m e n t o i n n i n,yes,qualitative,t,direct
k o o d i,k o o d i n,no,_,_,_
l ä h i n,l ä h i m m ä n,no,_,_,_
k o t i,k o d i n,yes,qualitative,t,direct
k o s m o s,k o s m o k s e n,no,_,_,_
s a a v u t u s,s a a v u t u k s e n,no,_,_,_
k a t t a u s,k a t t a u k s e n,no,_,_,_
h e n k i l ö s t ö,h e n k i l ö s t ö n,no,_,_,_
y k s i m i e l i s y y s,y k s i m i e l i s y y d e n,no,_,_,_
h e n k i l ö l l i s y y s,h e n k i l ö l l i s y y d e n,no,_,_,_
k o r o t t a m i n e n,k o r o t t a m i s e n,no,_,_,_
m u l t a,m u l l a n,yes,qualitative,t,direct
p a p r i k a,p a p r i k a n,no,_,_,_
k a s s a,k a s s a n,no,_,_,_
h u u m a,h u u m a n,no,_,_,_
m o n i a r v o i s u u s,m o n i a r v o i s u u d e n,no,_,_,_
j ä l k i,j ä l j e n,yes,qualitative,k,direct
u u n i l l i n e n,u u n i l l i s e n,no,_,_,_
g e n e t i i v i,g e n e t i i v i n,no,_,_,_
m o n s t e r i,m o n s t e r i n,no,_,_,_
m e s i,m e d e n,no,_,_,_
h y m y,h y m y n,no,_,_,_
a m m u s k e l i j a,a m m u s k e l i j a n,no,_,_,_
l o k e r o,l o k e r o n,no,_,_,_
o m i s t a j a,o m i s t a j a n,no,_,_,_
t u p o,t u p o n,no,_,_,_
k u r t t u,k u r t u n,yes,quantitative,t,direct
j u u r i,j u u r e n,no,_,_,_
t e n t t i,t e n t i n,yes,quantitative,t,direct
l e v i n n e i s y y s,l e v i n n e i s y y d e n,no,_,_,_
o p p i l a s,o p p i l a a n,no,_,_,_
u u t i n e n,u u t i s e n,no,_,_,_
t e u r a s,t e u r a a n,no,_,_,_
p ä ä s k y n e n,p ä ä s k y s e n,no,_,_,_
a u r i n k o,a u r i n g o n,yes,qualitative,k,direct
r a k k a u s,r a k k a u d e n,no,_,_,_
s y d ä n,s y d ä m e n,no,_,_,_
m e r k i t t ä v y y s,m e r k i t t ä v y y d e n,no,_,_,_
h a v u,h a v u n,no,_,_,_
p i i r r e t t y,p i i r r e t y n,yes,quantitative,t,direct
k u o p u s,k u o p u k s e n,no,_,_,_
a t e r i a,a t e r i a n,no,_,_,_
m y k k y r ä,m y k k y r ä n,no,_,_,_
e p i d e m i a,e p i d e m i a n,no,_,_,_
k i l t a,k i l l a n,yes,qualitative,t,direct
m e t a l l i,m e t a l l i n,no,_,_,_
s y m p o s i u m i,s y m p o s i u m i n,no,_,_,_
p a r o n i t a r,p a r o n i t t a r e n,yes,quantitative,t,inverse
s e l i t y s,s e l i t y k s e n,no,_,_,_
h ä i r i ö,h ä i r i ö n,no,_,_,_
l i o t u s,l i o t u k s e n,no,_,_,_
l e p o,l e v o n,yes,qualitative,p,direct
o m i n a i s l a a t u,o m i n a i s l a a d u n,yes,qualitative,t,direct
i l m e s t y s,i l m e s t y k s e n,no,_,_,_
s i s u s t u s,s i s u s t u k s e n,no,_,_,_
l a a d i n t a,l a a d i n n a n,yes,qualitative,t,direct
m o n o l o g i,m o n o l o g i n,no,_,_,_
g a m b i i t t i,g a m b i i t i n,yes,quantitative,t,direct
k v a r k k i,k v a r k i n,yes,quantitative,k,direct
s y ö k s y,s y ö k s y n,no,_,_,_
t o h t o r i,t o h t o r i n,no,_,_,_
v i e k k a u s,v i e k k a u d e n,no,_,_,_
s i i t o s,s i i t o k s e n,no,_,_,_
e p ä i l i j ä,e p ä i l i j ä n,no,_,_,_
d e f l a a t i o,d e f l a a t i o n,no,_,_,_
o r g a n i s a a t i o,o r g a n i s a a t i o n,no,_,_,_
s e u r a n t a,s e u r a n n a n,yes,qualitative,t,direct
s u k u,s u v u n,yes,qualitative,k,direct
e s t o,e s t o n,no,_,_,_
v o l y y m i,v o l y y m i n,no,_,_,_
i n t e r n e t t i,i n t e r n e t i n,yes,quantitative,t,direct
l a h j o i t u s,l a h j o i t u k s e n,no,_,_,_
l u o m i n e n,l u o m i s e n,no,_,_,_
k u l k u,k u l u n,yes,qualitative,k,direct
h a l l a,h a l l a n,no,_,_,_
s o r s a,s o r s a n,no,_,_,_
k a h v a,k a h v a n,no,_,_,_
o s a n e n,o s a s e n,no,_,_,_
v a k u u t u s,v a k u u t u k s e n,no,_,_,_
o m a l e i m a i s u u s,o m a l e i m a i s u u d e n,no,_,_,_
l i n k i t y s,l i n k i t y k s e n,no,_,_,_
s ä ä l i,s ä ä l i n,no,_,_,_
m y t o l o g i a,m y t o l o g i a n,no,_,_,_
u s k o n t o,u s k o n n o n,yes,qualitative,t,direct
s i m u l o i n t i,s i m u l o i n n i n,yes,qualitative,t,direct
l e s b o,l e s b o n,no,_,_,_
y h t ä l ä i s y y s,y h t ä l ä i s y y d e n,no,_,_,_
h a t t u,h a t u n,yes,quantitative,t,direct
r a s v a,r a s v a n,no,_,_,_
j y r ä h d y s,j y r ä h d y k s e n,no,_,_,_
l o g i i k k a,l o g i i k a n,yes,quantitative,k,direct
k e i t i n,k e i t t i m e n,yes,quantitative,t,inverse
r i k k a u s,r i k k a u d e n,no,_,_,_
k a u p u n k i l a i n e n,k a u p u n k i l a i s e n,no,_,_,_
r a k e n n u s,r a k e n n u k s e n,no,_,_,_
s y r j i n t ä,s y r j i n n ä n,yes,qualitative,t,direct
s i t s i,s i t s i n,no,_,_,_
p e n n i,p e n n i n,no,_,_,_
t a k a l i s t o,t a k a l i s t o n,no,_,_,_
h a u t a,h a u d a n,yes,qualitative,t,direct
u h o,u h o n,no,_,_,_
p e r u s t a m i n e n,p e r u s t a m i s e n,no,_,_,_
t a h n a,t a h n a n,no,_,_,_
l u e n n o i t s i j a,l u e n n o i t s i j a n,no,_,_,_
t o l s t o i l a i s u u s,t o l s t o i l a i s u u d e n,no,_,_,_
p i u h a,p i u h a n,no,_,_,_
r i k k o,r i k o n,yes,quantitative,k,direct
o m i n a i s u u s,o m i n a i s u u d e n,no,_,_,_
a l l e k i r j o i t t a j a,a l l e k i r j o i t t a j a n,no,_,_,_
u i m i n e n,u i m i s e n,no,_,_,_
a h d i n k o,a h d i n g o n,yes,qualitative,k,direct
a j e l u,a j e l u n,no,_,_,_
j u o k s u,j u o k s u n,no,_,_,_
u l a p p a,u l a p a n,yes,quantitative,p,direct
k u u l e m i n e n,k u u l e m i s e n,no,_,_,_
v y ö h y k e,v y ö h y k k e e n,yes,quantitative,k,inverse
ö r k k i,ö r k i n,yes,quantitative,k,direct
k r a m p p i,k r a m p i n,yes,quantitative,p,direct
k a r a a t t i,k a r a a t i n,yes,quantitative,t,direct
k a u p p a l a,k a u p p a l a n,no,_,_,_
n ä p p ä i n,n ä p p ä i m e n,no,_,_,_
s o k e a,s o k e a n,no,_,_,_
t e i n i,t e i n i n,no,_,_,_
s a a t a v u u s,s a a t a v u u d e n,no,_,_,_
v i e r a a n t u m i n e n,v i e r a a n t u m i s e n,no,_,_,_
t i e t o u s,t i e t o u d e n,no,_,_,_
k u i v u m i n e n,k u i v u m i s e n,no,_,_,_
a r m e i j a,a r m e i j a n,no,_,_,_
e h k ä i s y,e h k ä i s y n,no,_,_,_
k a s t e,k a s t e e n,no,_,_,_
k o n s e r n i,k o n s e r n i n,no,_,_,_
h ä ä t ö,h ä ä d ö n,yes,qualitative,t,direct
k o r r e k t i u s,k o r r e k t i u d e n,no,_,_,_
p i d e n t y m i n e n,p i d e n t y m i s e n,no,_,_,_
e k s e n t r i s y y s,e k s e n t r i s y y d e n,no,_,_,_
s ä h k ö i s t y s,s ä h k ö i s t y k s e n,no,_,_,_
j ä l j i t e t t ä v y y s,j ä l j i t e t t ä v y y d e n,no,_,_,_
j ä n i s,j ä n i k s e n,no,_,_,_
k i e r t ä m i n e n,k i e r t ä m i s e n,no,_,_,_
l a h j o i t t a j a,l a h j o i t t a j a n,no,_,_,_
k u k k a r o,k u k k a r o n,no,_,_,_
e k s y m i n e n,e k s y m i s e n,no,_,_,_
k l a s s i k k o,k l a s s i k o n,yes,quantitative,k,direct
j u o k s e m i n e n,j u o k s e m i s e n,no,_,_,_
r u u h k a,r u u h k a n,no,_,_,_
l u o l a,l u o l a n,no,_,_,_
l a i t a m a,l a i t a m a n,no,_,_,_
h y l k ä ä m i n e n,h y l k ä ä m i s e n,no,_,_,_
r e u n a m a,r e u n a m a n,no,_,_,_
v ä r i l l i s y y s,v ä r i l l i s y y d e n,no,_,_,_
k i m a l a i n e n,k i m a l a i s e n,no,_,_,_
m a j o n e e s i,m a j o n e e s i n,no,_,_,_
p u p u,p u p u n,no,_,_,_
d e a d l i n e,d e a d l i n e n,no,_,_,_
y p s i l o n,y p s i l o n i n,no,_,_,_
s o h v a,s o h v a n,no,_,_,_
p e r u s t e,p e r u s t e e n,no,_,_,_
b i o d i v e r s i t e e t t i,b i o d i v e r s i t e e t i n,yes,quantitative,t,direct
h i n t e l y y s,h i n t e l y y d e n,no,_,_,_
l e h v ä s t ö,l e h v ä s t ö n,no,_,_,_
l a v a s t u s,l a v a s t u k s e n,no,_,_,_
s a n a n e n,s a n a s e n,no,_,_,_
k i e r r e,k i e r t e e n,yes,qualitative,t,inverse
l e i j o n a,l e i j o n a n,no,_,_,_
s ä ä n n ö s t ö,s ä ä n n ö s t ö n,no,_,_,_
t a k u u,t a k u u n,no,_,_,_
t a n t e r e,t a n t e r e e n,no,_,_,_
p e l k o,p e l o n,yes,qualitative,k,direct
s a v o n l i n n a l a i n e n,s a v o n l i n n a l a i s e n,no,_,_,_
t o r t t u,t o r t u n,yes,quantitative,t,direct
a v e c,a v e c i n,no,_,_,_
o s t o s,o s t o k s e n,no,_,_,_
p a r l a m e n t t i,p a r l a m e n t i n,yes,quantitative,t,direct
s u o j a,s u o j a n,no,_,_,_
i r v i k u v a,i r v i k u v a n,no,_,_,_
v a l i t u s,v a l i t u k s e n,no,_,_,_
k o k k a r e,k o k k a r e e n,no,_,_,_
s o l i d a a r i s u u s,s o l i d a a r i s u u d e n,no,_,_,_
k u u n t e l u,k u u n t e l u n,no,_,_,_
m u s t e,m u s t e e n,no,_,_,_
t a r k k a i l i j a,t a r k k a i l i j a n,no,_,_,_
d e l f i i n i,d e l f i i n i n,no,_,_,_
v ä l i t t ä m i n e n,v ä l i t t ä m i s e n,no,_,_,_
s u o r i t t a m i n e n,s u o r i t t a m i s e n,no,_,_,_
r u o h o,r u o h o n,no,_,_,_
s u p i s t u m i n e n,s u p i s t u m i s e n,no,_,_,_
v a i h t u m i n e n,v a i h t u m i s e n,no,_,_,_
t u n t e m u s,t u n t e m u k s e n,no,_,_,_
k o k i j a,k o k i j a n,no,_,_,_
j u u s t o,j u u s t o n,no,_,_,_
a s e i s t u s,a s e i s t u k s e n,no,_,_,_
t u t u s t u m i n e n,t u t u s t u m i s e n,no,_,_,_
m u r r e,m u r t e e n,yes,qualitative,t,inverse
h a r j o i t u s,h a r j o i t u k s e n,no,_,_,_
k o u r i s t u s,k o u r i s t u k s e n,no,_,_,_
t a r k e n n u s,t a r k e n n u k s e n,no,_,_,_
e d u s t u s,e d u s t u k s e n,no,_,_,_
h e t k i,h e t k e n,no,_,_,_
t u i s k u,t u i s k u n,no,_,_,_
l ä s n ä o l i j a,l ä s n ä o l i j a n,no,_,_,_
p e r u s t e l u,p e r u s t e l u n,no,_,_,_
t o t e u t t a m i n e n,t o t e u t t a m i s e n,no,_,_,_
h u l l u,h u l l u n,no,_,_,_
t i i v i s t e l m ä,t i i v i s t e l m ä n,no,_,_,_
k a n s a l a i s u u s,k a n s a l a i s u u d e n,no,_,_,_
k o o d a u s,k o o d a u k s e n,no,_,_,_
k r o m o s o m i,k r o m o s o m i n,no,_,_,_
k o l a h d u s,k o l a h d u k s e n,no,_,_,_
t e a t t e r i,t e a t t e r i n,no,_,_,_
i n d e k s i,i n d e k s i n,no,_,_,_
r a t s a s t u s,r a t s a s t u k s e n,no,_,_,_
l a k k a u t u s,l a k k a u t u k s e n,no,_,_,_
e s i t t e l i j ä,e s i t t e l i j ä n,no,_,_,_
m a i s e m a,m a i s e m a n,no,_,_,_
k a l a s t u s,k a l a s t u k s e n,no,_,_,_
h o l h o o j a,h o l h o o j a n,no,_,_,_
k u l k u e,k u l k u e e n,no,_,_,_
f u n d a m e n t a l i s m i,f u n d a m e n t a l i s m i n,no,_,_,_
k a s e t t i,k a s e t i n,yes,quantitative,t,direct
l y h e n t ä m i n e n,l y h e n t ä m i s e n,no,_,_,_
p a r l a m e n t a r i s m i,p a r l a m e n t a r i s m i n,no,_,_,_
p a l l e r o,p a l l e r o n,no,_,_,_
k i n k k u,k i n k u n,yes,quantitative,k,direct
e l i ö,e l i ö n,no,_,_,_
v i e m i n e n,v i e m i s e n,no,_,_,_
k u u,k u u n,no,_,_,_
r a i s k a u s,r a i s k a u k s e n,no,_,_,_
a g e n d a,a g e n d a n,no,_,_,_
m y ö n n y t y s,m y ö n n y t y k s e n,no,_,_,_
k a t s e,k a t s e e n,no,_,_,_
s ä ä n t e l y,s ä ä n t e l y n,no,_,_,_
e d i t o r i,e d i t o r i n,no,_,_,_
p u u,p u u n,no,_,_,_
v ä ä r e n n ö s,v ä ä r e n n ö k s e n,no,_,_,_
p e s e y t y m i n e n,p e s e y t y m i s e n,no,_,_,_
p ö t k ö,p ö t k ö n,no,_,_,_
h u o n o n t a m i n e n,h u o n o n t a m i s e n,no,_,_,_
s e l k ä m y s,s e l k ä m y k s e n,no,_,_,_
i k u i s u u s,i k u i s u u d e n,no,_,_,_
t r a p,t r a p i n,no,_,_,_
u n i v e r s u m i,u n i v e r s u m i n,no,_,_,_
k a l l i o,k a l l i o n,no,_,_,_
k o n s e r v a t i s m i,k o n s e r v a t i s m i n,no,_,_,_
r u s i n a,r u s i n a n,no,_,_,_
t y n n y r i,t y n n y r i n,no,_,_,_
r u t i i n i,r u t i i n i n,no,_,_,_
l a t v a,l a t v a n,no,_,_,_
a s u k a s,a s u k k a a n,yes,quantitative,k,inverse
r a n t a m a,r a n t a m a n,no,_,_,_
o s o i t e,o s o i t t e e n,yes,quantitative,t,inverse
l y ö m ä s o i t i n,l y ö m ä s o i t t i m e n,yes,quantitative,t,inverse
v a p a u t t a j a,v a p a u t t a j a n,no,_,_,_
s i t o u m u s,s i t o u m u k s e n,no,_,_,_
i h a s t u s,i h a s t u k s e n,no,_,_,_
k u m p p a n u u s,k u m p p a n u u d e n,no,_,_,_
t y ö n a n t a j a,t y ö n a n t a j a n,no,_,_,_
p s y y k e,p s y y k e n,no,_,_,_
p e l a s t u s,p e l a s t u k s e n,no,_,_,_
p e n i s i l l i i n i,p e n i s i l l i i n i n,no,_,_,_
j ä ä h d y t y s,j ä ä h d y t y k s e n,no,_,_,_
b a r o m e t r i,b a r o m e t r i n,no,_,_,_
p e n k k a,p e n k a n,yes,quantitative,k,direct
t a k a a m i n e n,t a k a a m i s e n,no,_,_,_
v a l m i s t u m i n e n,v a l m i s t u m i s e n,no,_,_,_
l a v a,l a v a n,no,_,_,_
p i r i n ä,p i r i n ä n,no,_,_,_
u k k o,u k o n,yes,quantitative,k,direct
v a r a u s,v a r a u k s e n,no,_,_,_
r ä t t i,r ä t i n,yes,quantitative,t,direct
o i k a i s u,o i k a i s u n,no,_,_,_
k o u l u t u s,k o u l u t u k s e n,no,_,_,_
i n n o v a t i i v i s u u s,i n n o v a t i i v i s u u d e n,no,_,_,_
t i e,t i e n,no,_,_,_
a n a n a s,a n a n a k s e n,no,_,_,_
d i e s e l,d i e s e l i n,no,_,_,_
m i e t t i j ä,m i e t t i j ä n,no,_,_,_
l e i p ä,l e i v ä n,yes,qualitative,p,direct
r i t u a a l i,r i t u a a l i n,no,_,_,_
t a v o i t t e l u,t a v o i t t e l u n,no,_,_,_
j a n o,j a n o n,no,_,_,_
e p ä i l t y,e p ä i l l y n,yes,qualitative,t,direct
l a a d u k k u u s,l a a d u k k u u d e n,no,_,_,_
k ä y m i n e n,k ä y m i s e n,no,_,_,_
h e h t a a r i,h e h t a a r i n,no,_,_,_
o h j a a j a,o h j a a j a n,no,_,_,_
l e h t o r i,l e h t o r i n,no,_,_,_
e l o k u v a,e l o k u v a n,no,_,_,_
l i b e r a a l i,l i b e r a a l i n,no,_,_,_
i n n o s t a m i n e n,i n n o s t a m i s e n,no,_,_,_
s y y s k u u,s y y s k u u n,no,_,_,_
k e u h k o,k e u h k o n,no,_,_,_
n u m e r o,n u m e r o n,no,_,_,_
r a p p u,r a p u n,yes,quantitative,p,direct
s y r j ä,s y r j ä n,no,_,_,_
s a k e u s,s a k e u d e n,no,_,_,_
k i v i,k i v e n,no,_,_,_
u n i k k o,u n i k o n,yes,quantitative,k,direct
k u p p a,k u p a n,yes,quantitative,p,direct
l ä ä n i t y s,l ä ä n i t y k s e n,no,_,_,_
k o p i o,k o p i o n,no,_,_,_
l u o t t o,l u o t o n,yes,quantitative,t,direct
m y y j ä,m y y j ä n,no,_,_,_
h a l l i t s e m i n e n,h a l l i t s e m i s e n,no,_,_,_
v a l t u u s t o,v a l t u u s t o n,no,_,_,_
t y t ä r,t y t t ä r e n,yes,quantitative,t,inverse
k a i p u u,k a i p u u n,no,_,_,_
p a r t i o,p a r t i o n,no,_,_,_
d a a m i,d a a m i n,no,_,_,_
i h a i l u,i h a i l u n,no,_,_,_
a k t i i v i s u u s,a k t i i v i s u u d e n,no,_,_,_
b u n g a l o w,b u n g a l o w i n,no,_,_,_
l u e n n o i n t i,l u e n n o i n n i n,yes,qualitative,t,direct
